source_file,source_abs,source_lines,instrumented_lines,covered_lines,missed_instrumented_lines,line_coverage_pct,functions,covered_functions,function_coverage_pct,max_line_freq,sum_line_freq,page
src/cpl/atm_comp_mct.F90,iCESM1.3.1_PI_atm/components/cam/src/cpl/atm_comp_mct.F90,910,231,205,26,88.74458874458874,6,6,100.0,26112,4340263,97bdbfa575_atm_comp_mct.F90.html
src/cpl/atm_import_export.F90,iCESM1.3.1_PI_atm/components/cam/src/cpl/atm_import_export.F90,412,107,84,23,78.50467289719626,2,2,100.0,2931112,61670936,5b521ca298_atm_import_export.F90.html
src/cpl/cam_cpl_indices.F90,iCESM1.3.1_PI_atm/components/cam/src/cpl/cam_cpl_indices.F90,228,99,97,2,97.97979797979798,1,1,100.0,512,96256,27cdf527b3_cam_cpl_indices.F90.html
src/dynamics/se/dp_coupling.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/dp_coupling.F90,611,169,118,51,69.8224852071006,3,3,100.0,2143272960,8094005146,621f42296c_dp_coupling.F90.html
src/dynamics/se/dycore.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/dycore.F90,56,9,9,0,100.0,2,2,100.0,1778152,17591592,71f537b3de_dycore.F90.html
src/dynamics/se/dyn_comp.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/dyn_comp.F90,479,115,82,33,71.30434782608695,4,4,100.0,42024960,86736902,40bfd30aaf_dyn_comp.F90.html
src/dynamics/se/dyn_grid.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/dyn_grid.F90,1033,193,164,29,84.97409326424871,17,17,100.0,301033122,2336361805,220de654ae_dyn_grid.F90.html
src/dynamics/se/inidat.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/inidat.F90,426,179,141,38,78.77094972067039,3,3,100.0,42024960,132846015,fc71242bda_inidat.F90.html
src/dynamics/se/inital.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/inital.F90,49,10,10,0,100.0,1,1,100.0,512,6662,e38a722829_inital.F90.html
src/dynamics/se/interp_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/interp_mod.F90,501,14,9,5,64.28571428571429,2,2,100.0,94720,386560,a62651b478_interp_mod.F90.html
src/dynamics/se/native_mapping.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/native_mapping.F90,526,227,19,208,8.370044052863436,2,2,100.0,3072,29716,f41ff55a41_native_mapping.F90.html
src/dynamics/se/nctopo_util_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/nctopo_util_mod.F90,155,55,5,50,9.090909090909092,2,2,100.0,512,3584,16cb2c9119_nctopo_util_mod.F90.html
src/dynamics/se/restart_dynamics.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/restart_dynamics.F90,582,106,104,2,98.11320754716981,3,3,100.0,42024960,143217664,ef6446792f_restart_dynamics.F90.html
src/dynamics/se/share/bndry_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/bndry_mod.F90,1701,178,101,77,56.741573033707866,11,11,100.0,15235560828,15351005964,1bfc953b89_bndry_mod.F90.html
src/dynamics/se/share/coordinate_systems_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/coordinate_systems_mod.F90,858,43,42,1,97.67441860465117,4,4,100.0,61440,1304928,c057a9fa90_coordinate_systems_mod.F90.html
src/dynamics/se/share/cube_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/cube_mod.F90,2604,559,519,40,92.84436493738819,19,19,100.0,25116672,310905557,d2cc2cf1d1_cube_mod.F90.html
src/dynamics/se/share/derivative_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/derivative_mod.F90,2532,150,131,19,87.33333333333333,12,12,100.0,82707775488,600454849024,684bc24d2e_derivative_mod.F90.html
src/dynamics/se/share/diffusion_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/diffusion_mod.F90,485,6,6,0,100.0,1,1,100.0,512,3072,0101d90a06_diffusion_mod.F90.html
src/dynamics/se/share/dof_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/dof_mod.F90,442,92,91,1,98.91304347826087,12,12,100.0,2218475520,7696081206,aaed7ab320_dof_mod.F90.html
src/dynamics/se/share/edge_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/edge_mod.F90,5059,367,300,67,81.74386920980926,13,13,100.0,8335079424,79910059592,73a4d020c6_edge_mod.F90.html
src/dynamics/se/share/element_mod.F90,iCESM1.3.1_PI_atm/components/cam/src/dynamics/se/share/element_mod.F90,482,19,19,0,100.0,2,2,100.0,49152,219648,f441d39a5e_element_mod.F90.html
